No,Question,A,B,C,D,Correct
102,"Perbedaan antara kepentingan ekonomis perusahaan terbuka dengan kepentingan ekonomis pribadi anggota Direksi, anggota Dewan Komisaris, pemegang saham utama, atau pengendali yang dapat merugikan perusahaan terbuka dimaksud adalah definisi dari",Transaksi Material,Penawaran Tender,Benturan Kepentingan,Transaksi Afiliasi,C
103,Data dan informasi di sektor PMDK mencakup,"Pelaku, Produk, Rekomendasi Saham, Kepemilikan, Lembaga Dan Profesi","Pelaku, Produk, Transaksi, Kepemilikan, Lembaga Dan Profesi","Kegiatan Edukasi LJK, Produk, Transaksi, Kepemilikan, Lembaga Dan Profesi","Pelaku, Produk, Transaksi, SLIK, Lembaga Dan Profesi",B
104,Contoh produk derivatif yang diperdagangkan di BEI adalah,SSF LQ45,Reksa Dana Syariah,Rights Issue,Obligasi Ritel Indonesia,A
105,"Masyarakat pemodal sangat memerlukan informasi mengenai kegiatan perdagangan, keadaan pasar, atau harga Efek di Bursa Efek yang tercermin dari kekuatan penawaran jual dan penawaran beli Efek sebagai dasar untuk mengambil keputusan investasi dalam Efek. Manakah di antara tindakan di bawah ini yang tidak menciptakan gambaran semu mengenai kegiatan perdagangan, keadaan pasar, atau harga Efek di Bursa Efek",Meminjam saham kepada Perusahaan Efek karena telah melakukan short selling,"Melakukan penawaran jual atau penawaran beli Efek pada harga tertentu, di mana Pihak tersebut juga telah bersekongkol dengan Pihak lain yang melakukan penawaran beli atau penawaran jual Efek yang sama pada harga yang kurang lebih sama",Melakukan transaksi yang tidak mengakibatkan perubahan kepemilikan,Melakukan transaksi Efek dengan menggunakan rekening Efek di beberapa Perusahaan Efek dengan tujuan untuk menciptakan kekuatan penawaran jual dan penawaran beli atas suatu Efek di Bursa Efek,A
106,"Berikut merupakan buku yang telah dipublikasi oleh DAIM, kecuali",Roadmap Pasar Modal Indonesia 2023-2027,Buku Saku Pasar Modal,Capital Market Fact Book 2023,Buku Pintar Pasar Modal,D
107,"Berikut merupakan bentuk KUBL, kecuali",Transportasi ramah lingkungan,Efisiensi energi,Pencegahan dan pengendalian polusi,Perumahan yang terjangkau,D
108,-Selesai Berikut adalah aplikasi yang digunakan sebagai aplikasi pengawasan,"SIPM, SIPETRO, Daily Watching",SPRINT,"ARIA, SIPM, PIPM","e-BAE, e-RKAT",A
109,Salah satu transaksi yang dilarang dalam pasar modal syariah adalah,Jual beli saham syariah,Penerbitan sukuk,Penawaran umum,Short selling,D
110,Tindakan yang dapat dilakukan oleh pengawas ketika mendapati keterlambatan penyampaian laporan pemberian jasa oleh profesi penunjang pasar modal,Memberikan perintah tertulis,Melimpahkan ke direktorat pemeriksaan khusus,Menghitung dan menginformasikan nilai denda keterlambatan kepada profesi penunjang tersebut,Menyampaikan permintaan konfirmasi keterlambatan kepada profesi penunjang tersebut,D
111,"Atas Perintah Tindakan Tertentu yang tidak dipenuhi, OJK berwenang melakukan",pengambilalihan kewenangan dan perintah tertulis,perintah tertulis dan teguran tertulis,pemeriksaan dan perintah tertulis,pemeriksaan dan teguran tertulis,C
112,"PT “ABC” Tbk menggunakan jasa audit atas informasi keuangan historis dari Akuntan Publik (AP) “X” untuk tahun buku 2020, 2021, dan 2022. Mana pernyataan yang benar untuk audit atas informasi keuangan historis tahunan 2023 PT “ABC” Tbk?",Tidak dapat diaudit oleh AP X hingga tahun buku 2024,"Masa cooling off, selama 2 tahun",Masa cooling off 1 tahun,Masih dapat diaudit oleh AP X,
113,"Dalam Tahapan peralihan ke OJK, produk derivatif existing",Hanya berlaku di OTC,Bisa diperpanjang tanpa batas,"Tidak dapat diperpanjang, dianggap jatuh tempo 6 bulan setelah POJK berlaku",Bisa dipindahtangankan ke BI,C
114,Pengurangan emisi gas rumah kaca yang dilakukan oleh usaha dan/atau kegiatan untuk mengkompensasi emisi yang dibuat di tempat lain juga dikenal dengan istilah,Perdagangan Allowance,Perdagangan emisi,Offset emisi,Perdagangan PTBAE-PU,C
115,Batas waktu penyampaian laporan keuangan tahunan paling lambat adalah,3 bulan setelah berakhirnya tahun buku,1 bulan sebelum RUPS,"2 bulan, jika disertai laporan Akuntan dalam rangka penelaahan terbatas","1 bulan, jika tidak diaudit",A
116,Aset wakaf pada sukuk wakaf harus diserahkan pemberi wakaf kepada?,Nazhir,Wakif,Mawquf,Mauquf alaih,A
117,"Berdasarkan Undang-Undang P2SK, Pembinaan dan pengawasan Profesi Penunjang Sektor Keuangan berupa Akuntan Publik dan Penilai Publik, dilakukan oleh",Bank Indonesia,Kementerian Keuangan,Otoritas Jasa Keuangan,Asosiasi,B
118,"Dalam persiapan melakukan Pernyataan Pendaftaran, Emiten menunjuk Profesi Penunjang Pasar Modal untuk mempersiapkan dokumen. Profesi dibawah ini yang bukan termasuk Profesi Penunjang Pasar Modal adalah...",Konsultan Hukum,Akuntan,Notaris,Wali Amanat,D
119,RUPS tahunan wajib dilaksanakan paling lambat,4 bulan setelah tahun buku berakhir,dapat dilaksanakan setiap waktu sesuai kebutuhan,6 bulan setelah tahun buku berakhir,3 bulan setelah tahun buku berakhir,C
120,"Berdasarkan Undang-Undang P2SK, Pembinaan dan pengawasan Profesi Penunjang Sektor Keuangan berupa Ahli Syariah Jasa Keuangan, dilakukan oleh",Asosiasi,Bank Indonesia,Kementerian Keuangan,Otoritas Jasa Keuangan,D
121,Tindakan apa yang dapat diambil dalam opsi kebijakan pencegahan-penanganan dalam Protokol Manajemen Krisis?,Asymmetric auto rejection (ARB),Pelarangan short selling,Semua benar,Pemendekan jam perdagangan (shortened trading hours),C
122,Yang tidak termasuk jenis Efek adalah,waran terstruktur,Efek bersifat utang dan sukuk,Efek bersifat ekuitas,rekening bank,D
123,Berikut merupakan sumber data yang diperoleh sebagai sumber data pengawasan,"Data perizinan, data SRO, data pelaporan",Data ekonomi makro,Data Kementerian terkait,Data kependudukan,A
124,Investor dapat meminta kompensasi (buyback/kenaikan kupon) pada EBUS terkait keberlanjutan jika,OJK mencabut izin emiten,Nilai tukar rupiah melemah,Emiten bangkrut,Kegiatan yang dibiayai tidak lagi memenuhi persyaratan KUBL dan KUBS,D
125,"Secara umum Penyusunan Rancangan Peraturan Otoritas Jasa Keuangan terdiri dari beberapa tahapan, yaitu",Perencanaan – Penyusunan – Pembahasan – Penetapan – Pengundangan dan Penyebarluasan,Perencanaan – Penyusunan – Penetapan – Pengundangan dan Penyebarluasan,Perencanaan – Pembahasan – Penyusunan – Penetapan – Penyebarluasan dan Pengundangan,Perencanaan – Pembahasan – Penyusunan – Penetapan – Pengundangan dan Penyebarluasan,A
126,"Berikut merupakan tahap awal dalam pelaksanaan Sosialisasi, Edukasi dan Diseminasi Informasi, kecuali",Merupakan Program Kerja yang diinisiasi oleh satuan kerja terkait,Permintaan dari stakeholders secara lisan,"Disposisi pimpinan atas surat permintaan dari instansi, lembaga, dan/atau komunitas",Terdapat permintaan dari satuan kerja di internal OJK,B
127,"Emiten atau Perusahaan Publik mempunyai kewajiban untuk melaporkan laporan berkala maupun insidentil. Di bawah ini adalah laporan yang disampaikan secara insidentil, yaitu",Laporan keterbukaan informasi yang harus segera diumumkan kepada publik,Laporan realisasi penggunaan dana,Laporan tahunan,Laporan keuangan tahunan,A
128,Peraturan OJK yang mengatur tentang Perdagangan Karbon melalui Bursa Karbon adalah,POJK Nomor 14 Tahun 2022,POJK Nomor 14 Tahun 2024,POJK Nomor 12 Tahun 2023,POJK Nomor 14 Tahun 2023,D
129,Peraturan Dewan Komisioner yang mengatur tentang Organisasi Otoritas Jasa Keuangan yaitu,1/PDK.02/2023,1/PDK.02/2022,10/PDK.02/2023,10/PDK.02/2022,A
130,"Menurut UU P2SK, kewenangan pengaturan derivatif keuangan beralih dari Bappebti ke",Kementerian Keuangan,BEI,KPPU,OJK dan BI,D
131,Pernyataan yang tidak benar terkait tindak pidana pasar modal,Penyidikan tindak pidana pasar modal oleh OJK tunduk kepada KUHAP,Setiap terdapat bukti permulaan tindak pidana pasar modal harus diproses lebih lanjut dengan penyidikan,Penyidik OJK memiliki kewenangan untuk menghentikan penyidikan tindak pidana sektor pasar modal yang sedang dilakukan penyidikan,OJK memiliki kewenangan atas penyidikan tindak pidana sektor pasar modal berdasarkan UU OJK,B
132,"Dalam menganalisis data transaksi efek, Pengawas Transaksi Efek melakukan rekapitulasi 15 nasabah terbesar transaksi beli dan jual untuk melihat hal berikut, kecuali",volume transaksi terbesar,dominasi transaksi,motif transaksi,frekuensi transaksi terbesar,D
133,Manakah yang merupakan isi laporan berkala EBUS LSK?,budaya keberlanjutan,tata kelola perusahaan,realisasi penggunaan dana,strategi keberlanjutan,C
134,"Salah satu tahapan yang dilakukan dalam rangka penyusunan rencana pemeriksaan kepatuhan, khususnya terkait pemilihan objek pemeriksaan untuk profesi Penilai adalah melakukan koordinasi dengan",Institut Akuntan Publik Indonesia (IAPI),Pusat Pembinaan Profesi Keuangan (PPPK),Forum Penilai Pasar Modal - Masyarakat Profesi Penilai Indonesia (FPPM - MAPPI),Asosiasi Profesi Penilai Pemerintah (APPP),C
135,"Paket lain, jawaban itu salah Di antara jawaban berikut ini, manakah yang bukan termasuk dalam penegakan hukum di sektor Pasar Modal sesuai dengan UU No. 8 Tahun 1995 tentang Pasar Modal dan UU No. 4 Tahun 2023 tentang Pengembangan dan Penguatan Sektor Keuangan",Pengenaan Sanksi Administratif,Pemeriksaan,Pemberian Pernyataan Efektif,Pembinaan,C
136,"Jenis Efek Bersifat Utang dan Sukuk berlandaskan keberlanjutan yaitu, kecuali",Sosial Bond,Obligasi Ritel Indonesia (ORI),Sustainability Sukuk,Green Bond,B
137,Transaksi yang mengandung unsur riba dalam PMS adalah,Transaksi marjin,Trading saham syariah,Sukuk ijarah,Rights issue syariah,A
138,Variabel yang tidak diperhitungkan dalam penilaian risiko profesi konsultan hukum adalah,Inherent Risk,Kerjasama dengan kantor asing,Impact,Pengendalian Internal,B
139,Salah satu aplikasi yang digunakan oleh Pengawas Transaksi Efek untuk melihat data transaksi saham dan waran adalah,Microsoft Power Point,Sipetro (Nasdaq),Penerima Laporan Transaki Efek (PLTE) Daily Watching,tidak ada jawaban yang benar,B
140,"Berikut ini yang merupakan periode laporan realisasi penggunaan dana yang wajib disampaikan kepada OJK, adalah",Juli,Maret,September,Juni,D
141,Manakah dasar hukum yang menjadi latar belakang penetapan kewenangan kepada OJK untuk mengatur perdagangan sekunder,UU No. 4 Tahun 2023 tentang Pengembangan dan Penguatan Sektor Keuangan (P2SK),Peraturan Presiden No. 98 Tahun 2021 tentang Nilai Ekonomi Karbon,UU No.7 Tahun 2021 tentang Harmonisasi Peraturan Perpajakan,Peraturan Menteri LHK No.21 Tahun 2022 tentang Tata Laksana Penerapan Nilai,A
142,Ekonomi Karbon Dashboard My courses Program Pendidikan Calon Staf Angkatan 8 (PCS8) atau Pendidikan Calon Asisten Manajer Angkatan 8 (PC General Ujian PMDK Jenis pelaporan berkala yang wajib disampaikan oleh Profesi Penunjang Pasar Modal adalah,Laporan pemberian jasa,Harian – tahunan,Laporan keuangan,Laporan operasional,A
143,"Berdasarkan Pasal 4 UUPM, Pengawasan Pasar Modal bertujuan untuk mewujudkan terciptanya kegiatan Pasar Modal yang","teratur, aman, dan efektif, serta melindungi kepentingan pemodal dan masyarakat","aman, wajar, dan efektif, serta melindungi kepentingan pemodal dan masyarakat","teratur, wajar, dan efisien, serta melindungi kepentingan pemodal dan masyarakat","aman, lancar, dan efisien, serta melindungi kepentingan pemodal dan masyarakat",C
144,Keterbukaan Informasi yang harus segera diumumkan kepada publik wajib disampaikan kepada Otoritas Jasa Keuangan selambat-lambatnya ... hari kerja setelah keputusan atau terdapatnya informasi atau fakta material yang mungkin dapat mempengaruhi nilai Efek atau keputusan pemodal,3 (tiga),4 (empat),1 (satu),2 (dua),D
145,Proses screening Daftar Efek Syariah (DES) atas laporan keuangan yang dilakukan oleh OJK adalah,"Tidak melakukan kegiatan usaha yang bertentangan dengan prinsip syariah, total utang berbasis bunga dibanding total aset tidak lebih dari 45%, dan total pendapatan non halal dibandingkan dengan total pendapatan tidak lebih dari 10%.","Tidak melakukan kegiatan usaha yang bertentangan dengan prinsip syariah, total utang berbasis bunga dibanding total aset lebih dari 45%, dan total pendapatan non halal dibandingkan dengan total pendapatan lebih dari 10%.","Tidak melakukan kegiatan usaha yang bertentangan dengan prinsip syariah, total utang berbasis bunga dibanding total aset tidak lebih dari 45%, dan total pendapatan non halal dibandingkan dengan total pendapatan sama dengan 10%.","Tidak melakukan kegiatan usaha yang bertentangan dengan prinsip syariah, total utang berbasis bunga dibanding total aset sama dengan 45%, dan total pendapatan non halal dibandingkan dengan total pendapatan tidak lebih dari 10%.",A
146,Alur penetapan sanksi yang berlaku di Direktorat Pengawasan Transaksi Efek,Pelimpahan dari Direktorat Pemeriksaan Khusus Pasar Modal – Penyusunan Surat Sanksi – Penyusunan Pendapat Hukum – Surat Sanksi,Penyusunan Pendapat Hukum – Penyusunan Surat Sanksi – Surat Sanksi – Pelimpahan ke Direktorat Pemeriksaan Khusus Pasar Modal,Pelimpahan dari Direktorat Pemeriksaan Khusus Pasar Modal – Penyusunan Pendapat Hukum – Penyusunan Surat Sanksi – Surat Sanksi,Penyusunan Surat Sanksi – Penyusunan Pendapat Hukum – Surat Sanksi – Pelimpahan ke Direktorat Pemeriksaan Khusus Pasar Modal,B
147,Mengikat kepada siapakah Peraturan yang dibuat oleh bursa efek?,Biro Administrasi efek,Investor,Anggota bursa Efek,OJK,C
148,Perhitungan/ valuasi dari Nilai Pasar Wajar Efek Saham pada portofolio Reksa Dana menggunakan,Nilai nominal,Harga transaksi yang dilakukan,Amortisasi,Harga penutupan bursa,D
149,"Berikut adalah laporan setelah penerbitan EBUS TPU, kecuali",Laporan Perubahan Syarat dan Kondisi EBUS TPU dari penerbit,Laporan Keuangan yang telah diaudit oleh Akuntan,Laporan Hasil Penerbitan EBUS TPU dari Penerbit,Laporan Informasi Material dari Agen Pemantau,B
150,"Di bawah ini, yang bukan manfaat dari perusahaan melakukan Penawaran Umum perdana saham adalah ...",Perusahaan tersebut tidak perlu melakukan pembayaran pajak,Sumber dana untuk ekspansi atau bayar pinjaman,Peningkatan nilai perusahaan,Peningkatan corporate image,A
151,Pengembalian izin usaha/ surat tanda terdaftar/ tercatat APERD ditetapkan pencabutannya oleh,Direktur a.n Dewan Komisioner OJK,Kepala OJK Koordinator a.n Dewan Komisioner OJK,Dewan Komisioner OJK,Deputi Direktur a.n Dewan Komisioner OJK,
152,Yang merupakan peraturan terkait perizinan Manajer Investasi adalah sebagai berikut,Peraturan V.D.5,Peraturan V.D.4,Peraturan V.B.4,Peraturan V.A.3,D
153,Jenis akad dalam reksadana syariah antara pihak pemberi kuasa dan pihak penerima kuasa dengan cara pihak pemberi kuasa memberikan kuasa kepada pihak penerima kuasa untuk menginvestasikan uang investor kedalam produk syariah adalah konsep akad,Wakalah,Kafalah,Ijarah,Istishna,A
154,"Dalam hal Lembaga Jasa Keuangan Pasar Modal di Daerah menyampaikan Keberatan atas pengenaan sanksi, maka KOJK Koordinator menyampaikan Naskah Dinas kepada",Dewan Komisioner OJK,"Departemen Pengawasan Pengelolaan Investasi dan Pasar Modal Regional, dalam hal Lembaga Jasa Keuangan berupa Manajer Investasi atau APERD","Direktorat Pengawasan Perusahaan Efek, dalam hal Lembaga Jasa Keuangan berupa Perusahaan Efek",Direktorat Pengendalian Kualitas dan Penanganan Keberatan,D
155,"POJK 5 tahun 2025 sudah berlaku, peraturan apa saja yang menjadi tidak berlaku?","POJK 57/2020, POJK 67/2107 dan POJK 5/2021","POJK 5/2021, POJK 67/2017 dan POJK 66/2017","POJK 67/2017, POJK 68/2017 dan POJK 66/2017","POJK 66/2017, POJK 68/2017 dan POJK 5/2021",C
156,Perusahaan Efek yang melakukan Penjaminan Emisi Efek antara lain harus memenuhi persyaratan sebagai berikut,Didukung oleh pegawai-pegawai yang ahli di dalam bidang penjaminan Emisi Efek,Semua direktur harus mempunyai izin orang perseorangan sebagai Wakil Penjamin,,,
157,Emisi Efek,,,Sekurang-kurangnya mempunyai seorang direktur dan dua orang pegawai yang telah memperoleh izin orang perseorangan sebagai Wakil Penjamin Emisi Efek,Sekurang-kurangnya mempunyai seorang direktur dan seorang pegawai yang masing-masing telah memperoleh izin orang perseorangan sebagai Wakil Penjamin Emisi Efek,D
158,Green Bonds adalah EBUS yang digunakan untuk pembiayaan,Infrastruktur digital,UMKM,Startup teknologi,Kegiatan usaha berwawasan lingkungan,D
159,Pasal dalam UU Pasar Modal (UUPM) dan sebagian pasal yang telah diubah dengan UU Pengembangan dan Penguatan Sektor Keuangan (UUP2SK) yang mengatur tentang larangan tindakan fraud dan manipulasi perdagangan di pasar adalah,"Perubahan Pasal 90, 91 dan 92 UUPM di UUP2SK","Pasal 95, 96 dan 98 UUPM dan Perubahan Pasal 97 UUPM di UUP2SK",Tidak ada jawaban yang benar,Perubahan Pasal 93 UUPM di UUP2SK,A
160,Komite Audit dapat dijabat oleh,Semua komisaris,Kepala internal audit,Komisaris independen,Komisaris utama namun bukan komisaris independen,C
161,Unit Karbon yang penerbitannya berasal dari proyek pengurangan emisi dan harus melakukan proses validasi dan verifikasi adalah,Carbon Tax,SPE-GRK,PTBAE-PU,PTBAE,B
162,"Berdasarkan POJK Nomor 36/POJK.04/2018 tentang Tata Cara Pemeriksaan di Sektor Pasar Modal, Pemeriksaan didefinisikan sebagai serangkaian kegiatan mencari, mengumpulkan, dan mengolah data atau keterangan lain yang dilakukan Pemeriksa untuk ........... di bidang Pasar Modal",Membuktikan kepatuhan para pelaku pasar terhadap peraturan,Memastikan bahwa pelaku Sektor Jasa Keuangan melanggar peraturan perundang- undangan,Membuktikan pelanggaran ketentuan pidana,Membuktikan ada tidaknya pelanggaran atas peraturan perundang-undangan,D
163,Kapan masa berlaku izin Wakil Perusahaan efek,3 Tahun sejak Tanggal surat persetujuan dan berakhir di tanggal kelahiran pemegang izin,3 Tahun sejak tanggal surat persetujuan pemegang izin,3 Tahun sejak tanggal lahir pemegang izin,4 Tahun sejak Tanggal surat persetujuan dan berakhir di tanggal kelahiran pemegang izin,A
164,"Alasan untuk dilakukannya pemeriksaan insidentil antara lain adalah, kecuali",Pengaduan Nasabah,Permintaan Objek Riksa,Kasus yang melibatkan objek riksa,Arahan Pimpinan,B
165,Pembayaran berbasis kinerja (result-based payment) merupakan,Nilai/harga emisi karbon yang ditetapkan oleh pemerintah yang wajib dibayar oleh,,,,
166,pihak yang menghasilkan karbon,,Pembayaran yang dilakukan atas surplus kuota dimana pemakaian allowance-nya,,,
167,dibawah dari batas atas yang telah ditetapkan,,,Insentif atau pembayaran yang diperoleh dari hasil capaian pengurangan emisi GRK yang telah diverifikasi dan/atau terverifikasi dan manfaat selain karbon yang telah divalidasi,Pembayaran setiap allowance yang diberikan oleh Pemerintah,C
168,Sukuk Wakaf adalah instrumen yang digunakan untuk,Optimalisasi manfaat aset wakaf,Likuiditas perbankan,Menjamin kredit konsumtif,Membiayai proyek telekomunikasi,A
169,"Definisi Standar Akuntansi Keuangan (SAK) berdasarkan PSAK 201 dan 208, yaitu",Pernyataan dan Interpretasi yang dikeluarkan oleh Dewan Standar Akuntansi Keuangan IAI dan Dewan Standar Akuntansi Syariah IAI serta peraturan regulator pasar modal untuk entitas yang berada di bawah pengawasannya,Peraturan regulator pasar modal untuk entitas yang berada di bawah pengawasannya,Pernyataan dan Interpretasi yang dikeluarkan oleh Dewan Standar Akuntansi Keuangan IAI dan peraturan regulator pasar modal untuk entitas yang berada di bawah,,A
170,pengawasannya,,,,Pernyataan dan Interpretasi yang dikeluarkan oleh Dewan Standar Akuntansi Keuangan IAI dan Dewan Standar Akuntansi Syariah IAI,
171,"Berikut ini Isi laporan berkala EBUS Lingkungan Sosial Keberlanjutan, kecuali",Perubahan realisasi KUBL/KUBS,Laporan Keuangan,Pencapaian realisasi KUBL/KUBS,Realisasi Penggunaan dana,B
172,Pihak lain yang dapat mengajukan sebagai Penyedia Sistem Pengeyenggaran E-RUPS adalah,Pihak yang telah memiliki persetujuan usaha dari OJK untuk melakukan kegiatan di,,,,
173,sektor pasar modal,,Pihak yang telah tercatat dari OJK untuk melakukan kegiatan di sektor pasar modal,Pihak yang telah mendapatkan izin usaha dari OJK untuk melakukan kegiatan di sektor pasar modal,Pihak yang telah terdaftar usaha dari OJK untuk melakukan kegiatan di sektor pasar modal,C
174,Berikut adalah tahapan pengembangan aplikasi pasar modal di OJK,PKSI – Test – Pemrograman – Desain,PKSI – Test – Desain – implementasi,PKSI – Usreq – Desain – Pemrograman – Test,PKSI – Pemrograman – Test,C
175,Perseroan Terbatas yang memiliki tugas menatausahakan serta mengelola Dana Perlindungan Pemodal di Pasar Modal Indonesia adalah,Lembaga Pendanaan Efek,Self-Regulatory Organization,Securities Investor Protection Fund,Lembaga Penilai Harga Efek,C
176,-Selesai- Saham termasuk jenis Efek,polis asuransi,Efek bersifat utang dan sukuk,Efek bersifat ekuitas,waran terstruktur,C
177,"Berikut merupakan ciri dari Sukuk yang diterbitkan melalui Crowdfunding, kecuali",Proyek yang menjadi dasar penerbitan sukuk tidak bertentangan dengan prinsip syariah di pasar modal,Wajib memiliki underlying aset,Penerbitannya harus mendapatkan pernyataan kesesuaian syariah dari TAS / DPS,Dapat diperdagangankan di pasar sekunder,D
178,Berikut yang merupakan komponen penilaian dari permodalan Manajer Investasi,Laba/ rugi,Modal Kerja Bersih Disesuaikan,Return on Equity,Return on Asset,B
179,Manakah ketentuan yang benar terkait Emiten Penawaran Umum Bertahap (PUB)?,Emiten dapat tidak dapat menerbitkan lebih dari 1 EBUS BK,Emiten dapat menerbitkan Lebih dari 1 EBUS BK dengan ketentuan rencana PUB dimuat dalam prospektus pada saat mengajukan Pernyataan Pendaftaran dan seluruh persyaratan penerbitan EBUS BK telah dipenuhi pada saat penerbitan prospektus.,Emiten dapat menerbitkan Lebih dari 1 EBUS BK dengan ketentuan rencana PUB dimuat dalam laporan EBUS berkala pada tahun berikutnya dan seluruh persyaratan penerbitan EBUS BK telah dipenuhi pada saat mengajukan Pernyataan Pendaftaran.,Emiten dapat menerbitkan Lebih dari 1 EBUS BK dengan ketentuan rencana PUB dimuat dalam prospektus pada saat mengajukan Pernyataan Pendaftaran dan seluruh persyaratan penerbitan EBUS BK telah dipenuhi pada saat mengajukan Pernyataan Pendaftaran,D
180,"Berikut adalah larangan bagi Penasihat Investasi, kecuali",Menjanjikan suatu hasil tertentu,"Memberi saran kepada nasabah yang berkaitan dengan pembelian, penjualan atau pertukaran dari Efek yang disertai alasan yang rasional",Mengelola dana nasabah,Mengungkapkan identitas nasabah kepada pihak ketiga kecuali diharuskan oleh peraturan perundangan yang berlaku,B
181,Salah satu kriteria business screening dalam Daftar Efek Syariah (DES) adalah,Membagikan dividen,Laba bersih stabil,Likuiditas tinggi,Tidak melakukan usaha perjudian,D
182,"Dalam menganalisis data transaksi efek, untuk melihat dominasi transaksi beli dan jual suatu efek oleh suatu nasabah, Pengawas Transaksi Efek melakukan",analisis aliran dana,tidak ada jawaban yang benar,pemeriksaan setempat,rekapitulasi 15 nasabah terbesar transaksi beli dan jual,D
183,Hal berikut bukan merupakan sanksi administratif adalah,Perintah mengembalikan aset nasabah yang ditransaksikan tanpa instruksi,Larangan kepada perusahaan efek untuk memberikan fasilitas marjin selama 1 tahun,Larangan auditor untuk mengaudit reksa dana sampai dengan periode tertentu,Peringatan kepada Penilai untuk melaksanakan review penugasan oleh rekan yang lain,A
184,Ruang lingkup pemeriksaan insidentil adalah pada hal sebagai berikut,aspek permasalahan yang ditimbulkan dan aspek lainnya,aspek reputasi,aspek hukum,aspek kredit dan operasional,A
185,Fatwa DSN-MUI yang mengatur Reksa Dana Syariah adalah,Fatwa 20,Fatwa 23,Fatwa 80,Fatwa 40,A
186,Peraturan perundangan di Indonesia yang mengatur mengenai Pasar Modal adalah ...,UU No 11 Tahun 2011,UU No 5 Tahun 1998,UU No 21 Tahun 2011,UU No 8 Tahun 1995 juncto UUP2SK,D
187,"Wakil Agen Penjual Reksa Dana wajib memenuhi persyaratan sebagai berikut, kecuali",Memiliki akhlak dan moral yang baik,Tidak pernah melakukan perbuatan tercela dan/atau dihukum karena terbukti melakukan tindak pidana di bidang jasa keuangan,Tidak Cakap melakukan perbuatan hukum,Memiliki sertifikat keahlian sebagai WAPERD yang diselenggarakan oleh Lembaga Sertifikasi Profesi.,C
188,Proses tahapan reviu alert dilakukan secara,semesteran,tahunan,triwulanan,bulanan,D
189,Manakah yang termasuk dalam mekanisme penyelenggaraan Nilai Ekonomi Karbon di Indonesia,Pajak Karbon,Pembayaran Berbasis Kinerja / Result-Based Payment,Semua Benar,Perdagangan Karbon,C
190,"Perdagangan saham yang tidak mengakibatkan perubahan kepemilikan dengan tujuan menciptakan gambaran semu/menyesatkan tentang kegiatan perdagangan, keadaan pasar, atau harga di bursa efek sesuai ketentuan pada UUPM/UUP2SK",Tidak ada yang benar,Pasal 95,Pasal 91,Pasal 92,C
191,Sanksi Administratif berupa Pencabutan Izin usaha Perusahaan Efek Daerah disampaikan Kantor OJK Koordinator kepada,Kepala Departemen Perizinan Pasar Modal,Departemen Pengawasan Pengelolaan Investasi dan Pasar Modal Regional,Departemen Pengawasan Lembaga Efek,"Kepala Eksekutif Pengawas Pasar Modal, Keuangan Derivatif dan Bursa Karbon",D
192,Jenis produk yang terdapat dalam pasar modal syariah adalah sebagai berikut kecuali,Sukuk,Deposito Syariah,Reksa Dana Syariah,Surat Berharga Syariah Negara (SBSN / Sukuk Negara),B
193,Contoh perusahaan yang mempunyai kegiatan usaha yang bertentangan dengan prinsip syariah di pasar modal adalah,Perusahaan rokok,Perusahaan pengolahan kertas,Perusahaan pertambangan,Perusahaan pembuatan mie instan,A
194,"Berdasarkan Peraturan Pendelegasian Wewenang yang ada, Perizinan Lembaga Jasa Keuangan Pasar Modal yang Berkantor Pusat di daerah dapat dilakukan oleh Kantor OJK Koordinator, kecuali untuk perizinan",Penasihat Investasi,Agen Penjual Efek Reksa Dana,Perusahaan Efek Daerah,Manajer Investasi,D
195,Yang bukan merupakan tujuan penggunaan e-IPO adalah ...,Pembentukan harga Penawaran Umum yang lebih transparan,Percepatan dan efisiensi pelaksanaan Penawaran Umum,Peningkatan partisipasi penilai dalam pasar perdana,Peningkatan partisipasi perusahaan efek dalam pasar perdana,C
196,"Dalam ekosistem perdagangan karbon di Indonesia, pada Pasar Primer, sistem registrasi nasional berada di bawah kewenangan",Kementerian Lingkungan Hidup dan Kehutanan,Lembaga Validasi dan Verifikasi,Kementerian Koordinator bidang Maritim dan Investasi,Otoritas Jasa Keuangan,A
197,"Manakah yang termasuk tujuan dari pembinaan, pengaturan, dan pengawasan Pasar Modal sesuai Pasal 4UUPM",Mewujudkan kegiatan Pasar Modal yang efisien,Mewujudkan kegiatan Pasar Modal yang lancar,Mewujudkan kegiatan Pasar Modal yang aman,Mewujudkan kegiatan Pasar Modal yang efektif,A
198,EBUS sosial digunakan untuk membiayai,Perdagangan karbon,Kegiatan usaha berwawasan sosial,Perdagangan internasional,Derivatif OTC,B
199,Pihak yang bertugas melakukan kliring dan penjaminan derivatif keuangan adalah,BEI,Bappebti,Perusahaan Efek,Lembaga Kliring dan Penjaminan (LKP),D
200,Pihak Penyedia Daftar Efek Syariah (PPDES) dilarang memuat Efek Syariah yang,Sukuk yang dicatatkan di bursa efek luar negeri,Dimuat dalam Daftar Efek Syariah yang ditetapkan oleh OJK di dalam daftar Efek Syariah Luar Negeri,Diperdagangkan di luar negeri,Reksa dana luar negeri berbasis syariah.,
201,Sektor utama yang tercantum dalam NDC adalah kecuali,Limbah,Industrial Process and Product Use (IPPU),Kehutanan,Kelautan,D
